2,1948 356 No.1,,,,,,,,1948356,STAT DATA GROUPINGS,!showcase
4,,,,,,,,,1948356,,!showcase
6,American,French,German,Italian,Spanish,Swedish,Portugese,,1948356,STATS AT A GLANCE,!showcase
8,"4 cylinder ""Boxer""",4 cylindres boxer,4-Zylinder Boxer,4 Cilindri Boxer,"""Boxer"" de 4 Cilindros","4-cylindrig ""boxer""",Boxer 4 cilindros,,1948356,"Engine Type (in format ""48 valve, V-12"")",!showcase
10,1131cc,1131cc,1131 ccm,1131cc,1131cc,1131cc,1131 cc,,1948356,Displacement  (cc),!showcase
12,35bhp @ 4000rpm,35 ch à 4000 tr/mn,35 PS bei 4000 U/min.,35bhp @ 4000rpm,35 cv @ 4000 rpm,35 hk @ 4000 v/min,35 hp à 4000 rpm,,1948356,Horsepower (bhp or Kw  @  rpm),!showcase
14,51lb-ft @ 2600rpm,"7,05 mkg à 2600 tr/mn",69 Nm bei 2600 U/min.,51lb-ft @ 2600rpm,"7,05 kgm @ 2600 rpm",69 Nm @ 2600 v/min,"7,05 kgm à 2600 rpm",,1948356,Torque (lb-ft or Nm @ rpm),!showcase
16,23,"23""",23 sek.,23 sec.,23 seg,23 s,23 seg,,1948356,"Acceleration (0-60 mph, or 0-100 Km/h, in seconds)",!showcase
18,84 mph,135  km/h,135  km/h,135 km/h,135kmh,135 km/h,135 km/h,,1948356,Top Speed (mph) - please also supply in km/h,!showcase
20,,,,,,,,,1948356,,!showcase
22,,,,,,,,,1948356,GENERAL DATA,!showcase
24,585Kg,585  Kg,585 kg,585Kg,585Kg,585Kg,585Kg,,1948356,Weight (kerb - kg),!showcase
26,3860 mm,3860   mm,3860  mm,3860 mm,3860 mm,3860 mm,"3,86m",,1948356,Length ( mm),!showcase
28,1670 mm,1670  mm,1670  mm,1670 mm,1670 mm,1670 mm,"1,67m",,1948356,Width ( mm),!showcase
30,1250 mm,1250  mm,1250  mm,1250 mm,1250 mm,1250 mm,"1,25m",,1948356,Height ( mm),!showcase
32,2150 mm,2150  mm,2150  mm,2150 mm,2150 mm,2150 mm,"2,15m",,1948356,Wheelbase ( mm),!showcase
34,,,,,,,,,1948356,,!showcase
36,,,,,,,,,1948356,PERFORMANCE DATA,!showcase
38,,,,,,,,,1948356,"Engine Type (in format ""48 valve, V-12"")",!showcase
40,,,,,,,,,1948356,Displacement  (cc),!showcase
42,,,,,,,,,1948356,Horsepower (bhp or Kw  @  rpm),!showcase
